imageNumber, mousePositionX, mousePositionY
0, 136, 101
1, 1238, 611
2, 224, 103
3, 936, 489
4, 984, 537
5, 185, 132
6, 181, 696
7, 960, 531
8, 959, 600
9, 932, 510
10, 828, 507
