imageNumber, mousePositionX, mousePositionY
0, 180, 101
1, 1046, 532
2, 964, 527
3, 834, 530
4, 835, 660
5, 964, 660
6, 966, 529
7, 1859, 924
8, 268, 102
9, 958, 535
10, 1805, 404
11, 1800, 519
