imageNumber, mousePositionX, mousePositionY
0, 132, 102
1, 1180, 598
2, 193, 132
3, 185, 554
4, 861, 464
5, 1831, 350
6, 1799, 405
7, 269, 102
8, 1167, 537
9, 1801, 403
10, 1799, 516
