imageNumber, mousePositionX, mousePositionY
0, 134, 100
1, 1077, 531
2, 221, 103
3, 879, 617
4, 1210, 484
5, 1860, 965
6, 269, 101
7, 1117, 566
8, 1130, 554
9, 1802, 518
